Address_r1,Address_r2,Sample_ID,total_raw_reads,reads_with_guides,expected_reads_with_guides,unexpected_reads_with_guides,lowQ_reads,frac_unexpected,frac_expected,frac_lowQ_reads
/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_18/LA87_18_CKDL240038314-1A_22HVCLLT4_L2_1.fq.gz,/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_18/LA87_18_CKDL240038314-1A_22HVCLLT4_L2_2.fq.gz,LA87_18,4390565,2883144,2756390,126754,1507421,0.028869632951567737,0.6277984724061709,0.3433318946422613
/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_14/LA87_14_CKDL240038314-1A_22HVCLLT4_L2_1.fq.gz,/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_14/LA87_14_CKDL240038314-1A_22HVCLLT4_L2_2.fq.gz,LA87_14,2272043,1258196,1205758,52438,1013847,0.02307966882669034,0.530693301139107,0.4462270300342027
/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_19/LA87_19_CKDL240038314-1A_22HVCLLT4_L2_1.fq.gz,/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_19/LA87_19_CKDL240038314-1A_22HVCLLT4_L2_2.fq.gz,LA87_19,3605501,1619642,1506307,113335,1985859,0.03143391168106735,0.41778021972535856,0.5507858685935741
/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_13/LA87_13_CKDL240038314-1A_22HVCLLT4_L2_1.fq.gz,/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_13/LA87_13_CKDL240038314-1A_22HVCLLT4_L2_2.fq.gz,LA87_13,1549549,33353,21732,11621,1516196,0.007499601496951694,0.014024725904117907,0.9784756725989304
/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_07/LA87_07_CKDL240038314-1A_22HVCLLT4_L2_1.fq.gz,/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_07/LA87_07_CKDL240038314-1A_22HVCLLT4_L2_2.fq.gz,LA87_07,4181243,2407025,2285774,121251,1774218,0.02899879294267279,0.5466733217849333,0.4243278852723939
/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_04/LA87_04_CKDL240038314-1A_22HVCLLT4_L2_1.fq.gz,/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_04/LA87_04_CKDL240038314-1A_22HVCLLT4_L2_2.fq.gz,LA87_04,10403940,7960955,7674454,286501,2442985,0.02753774050984531,0.7376488138147663,0.23481344567538837
/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_09/LA87_09_CKDL240038314-1A_22HVCLLT4_L2_1.fq.gz,/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_09/LA87_09_CKDL240038314-1A_22HVCLLT4_L2_2.fq.gz,LA87_09,6866716,5670044,5482076,187968,1196672,0.0273737839165039,0.7983548467710038,0.17427136931249232
/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_06/LA87_06_CKDL240038314-1A_22HVCLLT4_L2_1.fq.gz,/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_06/LA87_06_CKDL240038314-1A_22HVCLLT4_L2_2.fq.gz,LA87_06,3753152,2849914,2725451,124463,903238,0.0331622593489419,0.7261765577306755,0.24066118292038266
/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_03/LA87_03_CKDL240038314-1A_22HVCLLT4_L2_1.fq.gz,/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_03/LA87_03_CKDL240038314-1A_22HVCLLT4_L2_2.fq.gz,LA87_03,2767571,1187386,1135797,51589,1580185,0.018640533521994556,0.41039489140477337,0.5709645750732321
/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_16/LA87_16_CKDL240038314-1A_22HVCLLT4_L2_1.fq.gz,/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_16/LA87_16_CKDL240038314-1A_22HVCLLT4_L2_2.fq.gz,LA87_16,3414245,2167301,2059697,107604,1246944,0.031516191720277836,0.6032657293193664,0.3652180789603558
/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_10/LA87_10_CKDL240038314-1A_22HVCLLT4_L2_1.fq.gz,/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_10/LA87_10_CKDL240038314-1A_22HVCLLT4_L2_2.fq.gz,LA87_10,4359512,3356110,3232358,123752,1003402,0.028386663461414947,0.7414495016873448,0.23016383485124023
/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_12/LA87_12_CKDL240038314-1A_22HVCLLT4_L2_1.fq.gz,/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_12/LA87_12_CKDL240038314-1A_22HVCLLT4_L2_2.fq.gz,LA87_12,2961152,2478145,2403927,74218,483007,0.025063894052044608,0.8118215478300337,0.16311455811792167
/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_05/LA87_05_CKDL240038314-1A_22HVCLLT4_L2_1.fq.gz,/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_05/LA87_05_CKDL240038314-1A_22HVCLLT4_L2_2.fq.gz,LA87_05,4466858,3616150,3483935,132215,850708,0.029599105232357956,0.7799520378753925,0.19044885689224955
/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_08/LA87_08_CKDL240038314-1A_22HVCLLT4_L2_1.fq.gz,/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_08/LA87_08_CKDL240038314-1A_22HVCLLT4_L2_2.fq.gz,LA87_08,5381145,4441161,4248382,192779,939984,0.03582490343597877,0.7894940574914818,0.1746810390725394
/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_17/LA87_17_CKDL240038314-1A_22HVCLLT4_L2_1.fq.gz,/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_17/LA87_17_CKDL240038314-1A_22HVCLLT4_L2_2.fq.gz,LA87_17,4473757,2177162,2069019,108143,2296595,0.024172747871643453,0.4624790751934001,0.5133481769349565
/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_11/LA87_11_CKDL240038314-1A_22HVCLLT4_L2_1.fq.gz,/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_11/LA87_11_CKDL240038314-1A_22HVCLLT4_L2_2.fq.gz,LA87_11,10245484,8280669,7946654,334015,1964815,0.032601192876783563,0.7756250461178799,0.1917737610053366
/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_02/LA87_02_CKDL240038314-1A_22HVCLLT4_L2_1.fq.gz,/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_02/LA87_02_CKDL240038314-1A_22HVCLLT4_L2_2.fq.gz,LA87_02,2659471,2092639,2015298,77341,566832,0.0290813473807385,0.7577815287325939,0.2131371238866677
/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_15/LA87_15_CKDL240038314-1A_22HVCLLT4_L2_1.fq.gz,/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_15/LA87_15_CKDL240038314-1A_22HVCLLT4_L2_2.fq.gz,LA87_15,933410,232454,218664,13790,700956,0.014773786438971084,0.23426361406027363,0.7509625995007553
/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_01/LA87_01_CKDL240038314-1A_22HVCLLT4_L2_1.fq.gz,/labs/mwinslow/Haiqing/NGS_Raw_data/JH_HX_Cas12a_241121/01.RawData/LA87_01/LA87_01_CKDL240038314-1A_22HVCLLT4_L2_2.fq.gz,LA87_01,5842132,4709399,4533910,175489,1132733,0.03003852018406979,0.776071132935716,0.19389034688021428
