gene_combination_unordered,gene_a,gene_b,ko_a_in_wt,ko_a_in_wt_bootstrap_median,ko_a_in_wt_bootstrap_mean,ko_a_in_wt_97.5P,ko_a_in_wt_2.5P,ko_a_in_wt_pvalue_twoside,ko_b_in_wt,ko_b_in_wt_bootstrap_median,ko_b_in_wt_bootstrap_mean,ko_b_in_wt_97.5P,ko_b_in_wt_2.5P,ko_b_in_wt_pvalue_twoside,ko_a_in_b_ko,ko_a_in_b_ko_bootstrap_median,ko_a_in_b_ko_bootstrap_mean,ko_a_in_b_ko_97.5P,ko_a_in_b_ko_2.5P,ko_a_in_b_ko_pvalue_twoside,ko_b_in_a_ko,ko_b_in_a_ko_bootstrap_median,ko_b_in_a_ko_bootstrap_mean,ko_b_in_a_ko_97.5P,ko_b_in_a_ko_2.5P,ko_b_in_a_ko_pvalue_twoside,observed_double_ko,observed_double_ko_bootstrap_median,observed_double_ko_bootstrap_mean,observed_double_ko_97.5P,observed_double_ko_2.5P,observed_double_ko_pvalue_twoside,expected_double_ko,expected_double_ko_bootstrap_median,expected_double_ko_bootstrap_mean,expected_double_ko_97.5P,expected_double_ko_2.5P,expected_double_ko_pvalue_twoside,epistasis,epistasis_bootstrap_median,epistasis_bootstrap_mean,epistasis_97.5P,epistasis_2.5P,epistasis_pvalue_twoside,epistasis_pvalue_twoside_FDR,Mouse_genotype
Arid1a_Keap1_Safe,Arid1a,Keap1,0.30929505627630255,0.2914265261393397,0.2944663595546083,0.5935606211292093,0.0140246776303007,0.03600000000000003,-0.1491815371890891,-0.1538891718546062,-0.15009650587623544,0.10613409149742711,-0.3844758141334547,0.228,0.4603837252289736,0.47663200152068386,0.471862562846762,0.7604990834095313,0.17033843942950225,0.0040000000000000036,0.0019071317635819263,0.023391040648336997,0.027299697415918273,0.4178843927528143,-0.3485100035654811,0.8819999999999999,0.3112021880398845,0.31618117362525977,0.3217660569705266,0.5969980378461918,0.0724685393193065,0.0040000000000000036,0.16011351908721344,0.14604213697133558,0.14436985367837288,0.5126833790918426,-0.22429870578889405,0.482,0.15108866895267103,0.17781350112321237,0.1773962032921537,0.6140414771748146,-0.24445441483786587,0.4019999999999999,0.7616842105263156,KTCas12a
Arid1a_Lkb1_Safe,Arid1a,Lkb1,0.30929505627630255,0.2914265261393397,0.2944663595546083,0.5935606211292093,0.0140246776303007,0.03600000000000003,0.8157065489465125,0.8088310749952892,0.8104855561965698,1.0932592417750058,0.5295875038165894,0.0,0.09532231675874059,0.10176161947477846,0.097793200533456,0.4854275055679098,-0.2649004295008631,0.5980000000000001,0.6017338094289506,0.6142877929457868,0.6138123971754176,0.9545274137074902,0.2542957001762097,0.0,0.9110288657052531,0.9093113738271962,0.9082787567300259,1.1427198108227874,0.6719373644719245,0.0,1.1250016052228151,1.107074684960843,1.1049519157511782,1.5323526470809152,0.6674663529549723,0.0,-0.21397273951756202,-0.20138011346533646,-0.19667315902115234,0.2743546933097987,-0.6727958164371107,0.4,0.7616842105263156,KTCas12a
Arid1a_Mga_Safe,Arid1a,Mga,0.30929505627630255,0.2914265261393397,0.2944663595546083,0.5935606211292093,0.0140246776303007,0.03600000000000003,0.31354295527767895,0.30472484148747275,0.3111355341480473,0.5417054174156853,0.10647204152987541,0.0040000000000000036,-0.016581545872086323,-0.006437265023692046,-0.011750934370295963,0.28987601847774996,-0.33256788419476035,0.96,-0.012333646870709924,0.0041489812187811,0.004918240223142984,0.32054103261776,-0.3154816759541218,0.986,0.2969614094055926,0.2989428588730403,0.2993845997777513,0.4873419296440085,0.10075036716807956,0.0020000000000000018,0.6228380115539816,0.6030526745898153,0.6056018937026556,0.982601649566046,0.2514560238171285,0.0,-0.3258766021483889,-0.30206183490655547,-0.3062172939249043,0.09218156366547738,-0.7440898355444742,0.134,0.536,KTCas12a
Arid1a_Rb1_Safe,Arid1a,Rb1,0.30929505627630255,0.2914265261393397,0.2944663595546083,0.5935606211292093,0.0140246776303007,0.03600000000000003,0.5008684683018451,0.4556530599288915,0.4748852570451421,0.9989266670328689,0.06804463428153033,0.018000000000000016,0.5890360352907821,0.6111017427084083,0.6005805490530085,1.0098317352201482,0.15912458602003657,0.006000000000000005,0.7806094473163245,0.7731566464467818,0.7809994465435424,1.2048187624876825,0.3728630476068365,0.0,1.0899045035926271,1.0751906683496075,1.0754658060981506,1.407547315373865,0.744893341568192,0.0,0.8101635245781476,0.7634017464242766,0.7693516165997505,1.3692467337896395,0.2122471038532096,0.006000000000000005,0.2797409790144796,0.3122085975624378,0.3061141894984002,0.8868714279960025,-0.22428905691045478,0.266,0.6569999999999999,KTCas12a
Arid1a_Rbm10_Safe,Arid1a,Rbm10,0.30929505627630255,0.2914265261393397,0.2944663595546083,0.5935606211292093,0.0140246776303007,0.03600000000000003,0.26889425075962287,0.2691662648206865,0.26734365361504175,0.4733141319048472,0.051416641701984754,0.008000000000000007,0.13601751891512048,0.12734484169949462,0.12753202106191242,0.4513658933358098,-0.1883335592003389,0.45599999999999996,0.0956167133984408,0.09964530374851144,0.10040931512234587,0.3545902039490053,-0.18388905719226226,0.472,0.40491176967474335,0.38890764662763266,0.39487567467695417,0.6575617274292723,0.15594712677566386,0.0020000000000000018,0.5781893070359254,0.5616390486453755,0.5618100131696501,0.9107849321627908,0.2193359531964894,0.0,-0.17327753736118207,-0.1640059536456489,-0.16693433849269593,0.17181428286146164,-0.5212918864178712,0.38,0.7616842105263156,KTCas12a
Arid1a_Safe_Tet2,Arid1a,Tet2,0.30929505627630255,0.2914265261393397,0.2944663595546083,0.5935606211292093,0.0140246776303007,0.03600000000000003,0.09326431117608285,0.0888381635122969,0.08946312556949153,0.31409235002987307,-0.14521672314912737,0.4139999999999999,-0.007432236491432251,-0.016787022476904855,-0.011861865141883787,0.22003858507220164,-0.24700458596199967,0.88,-0.22346298159165195,-0.21137209836204862,-0.2168650991270006,0.10039536806823078,-0.5408325836556284,0.204,0.0858320746846506,0.08203142090789811,0.07760126042760775,0.2643288777317527,-0.11606101275499278,0.43999999999999995,0.4025593674523854,0.3849136018265594,0.3839294851240998,0.7536347698554019,0.005551612969566957,0.04600000000000004,-0.3167272927677348,-0.3108775600506191,-0.3063282246964922,0.047114242461259954,-0.6629450254547983,0.09,0.536,KTCas12a
Arid1a_Safe_Trp53,Arid1a,Trp53,0.30929505627630255,0.2914265261393397,0.2944663595546083,0.5935606211292093,0.0140246776303007,0.03600000000000003,0.21372413288620049,0.19821000506328007,0.2098866834574598,0.4780082930832158,-0.020251775010092524,0.08000000000000007,0.3208974802071195,0.3424928264051781,0.33275925132791856,0.6388022297985875,-0.004992425742489504,0.052000000000000046,0.22532655681701746,0.24832122950602944,0.24817957523077003,0.6202568336154628,-0.10431871688468528,0.16799999999999993,0.53462161309332,0.5352910078246409,0.5426459347853784,0.7767358521730579,0.31440105817246994,0.0,0.523019189162503,0.5047494212492551,0.5043530430120682,0.9259912118244717,0.12369873777982568,0.006000000000000005,0.011602423930817007,0.0513866127277566,0.03829289177331021,0.46893361793232535,-0.4088163347859939,0.8300000000000001,0.9648,KTCas12a
Arid1a_Safe_Tsc2,Arid1a,Tsc2,0.30929505627630255,0.2914265261393397,0.2944663595546083,0.5935606211292093,0.0140246776303007,0.03600000000000003,0.6547368562680672,0.6589732056945357,0.6596198753988829,0.9233493421864847,0.41644536901167817,0.0,0.08707736132156663,0.08324758457181175,0.08437979768892102,0.41015129647762816,-0.24046543942518742,0.6399999999999999,0.4325191613133313,0.44546163730707833,0.44953331353319553,0.8112176721863162,0.13915948529041292,0.0040000000000000036,0.7418142175896338,0.7456485968907367,0.7439996730878039,1.0149095359791833,0.46832283672664843,0.0,0.9640319125443697,0.9527122382621123,0.9540862349534912,1.350380135885003,0.5633967270681759,0.0,-0.22221769495473587,-0.21616925754568184,-0.2100865618656873,0.19987710505751122,-0.5920527689568558,0.292,0.6569999999999999,KTCas12a
Keap1_Lkb1_Safe,Keap1,Lkb1,-0.1491815371890891,-0.1538891718546062,-0.15009650587623544,0.10613409149742711,-0.3844758141334547,0.228,0.8157065489465125,0.8088310749952892,0.8104855561965698,1.0932592417750058,0.5295875038165894,0.0,-0.24779550984843568,-0.24627936885600943,-0.23606334795765785,0.16337654442959848,-0.6015181752410612,0.236,0.7170925762871659,0.7309649389089068,0.7245187141151475,1.0168537125544657,0.387961457326675,0.0,0.5679110390980768,0.5720409171321321,0.5744222082389119,0.8458148869256455,0.34028061841994306,0.0,0.6665250117574234,0.6572835583783043,0.6603890503203345,1.0337846175783008,0.2851931706357969,0.0,-0.09861397265934657,-0.0876101401404204,-0.0859668420814224,0.32910985574271356,-0.5005908869159852,0.688,0.9526153846153845,KTCas12a
Keap1_Mga_Safe,Keap1,Mga,-0.1491815371890891,-0.1538891718546062,-0.15009650587623544,0.10613409149742711,-0.3844758141334547,0.228,0.31354295527767895,0.30472484148747275,0.3111355341480473,0.5417054174156853,0.10647204152987541,0.0040000000000000036,-0.43865969540135424,-0.434890522592119,-0.43626215251339884,-0.16542534722305433,-0.7433858965369778,0.002,0.024064797065413812,0.03251422095498481,0.024969887510883793,0.29790175057283064,-0.2977094554170821,0.8420000000000001,-0.1251167401236753,-0.1222471510811998,-0.12512661836535163,0.0609966805738802,-0.30828619524243916,0.188,0.16436141808858984,0.15987007309096868,0.16103902827181185,0.49108592072998836,-0.15056256040188126,0.3340000000000001,-0.28947815821226514,-0.28075829884041037,-0.2861656466371635,0.05192722438541396,-0.6739999230802982,0.118,0.536,KTCas12a
Keap1_Rb1_Safe,Keap1,Rb1,-0.1491815371890891,-0.1538891718546062,-0.15009650587623544,0.10613409149742711,-0.3844758141334547,0.228,0.5008684683018451,0.4556530599288915,0.4748852570451421,0.9989266670328689,0.06804463428153033,0.018000000000000016,-0.13860816153050975,-0.09894538933088995,-0.11969224461564079,0.32595414409022794,-0.6749597897015699,0.76,0.5114418439604245,0.5197537585044096,0.5052895183057368,0.7838066947808398,0.1674931114779087,0.006000000000000005,0.3622603067713353,0.35494151723550765,0.35519301242950135,0.5460518228455205,0.17164471258267147,0.0,0.35168693111275595,0.3144639447685389,0.32478875116890676,0.9519532534728884,-0.21324940787250768,0.30200000000000005,0.010573375658579354,0.046181308217640105,0.030404261260594638,0.59051589178926,-0.6046395666595458,0.8819999999999999,0.9648,KTCas12a
Keap1_Rbm10_Safe,Keap1,Rbm10,-0.1491815371890891,-0.1538891718546062,-0.15009650587623544,0.10613409149742711,-0.3844758141334547,0.228,0.26889425075962287,0.2691662648206865,0.26734365361504175,0.4733141319048472,0.051416641701984754,0.008000000000000007,-0.30372303840258374,-0.2970856436820044,-0.3021936235456841,-0.028510315402929826,-0.6108003007242511,0.024,0.1143527495461282,0.1269258790370506,0.11524653594559316,0.39630508345651017,-0.2246304047913584,0.46799999999999997,-0.0348287876429609,-0.03646251762453473,-0.03484996993064227,0.17519148942042415,-0.24719390059693971,0.772,0.11971271357053376,0.1194662309690714,0.11724714773880636,0.4530032254985671,-0.19913321355809938,0.514,-0.15454150121349466,-0.13788724392450025,-0.15209711766944864,0.2066015193526643,-0.5507812471765622,0.46,0.8262857142857143,KTCas12a
Keap1_Safe_Tet2,Keap1,Tet2,-0.1491815371890891,-0.1538891718546062,-0.15009650587623544,0.10613409149742711,-0.3844758141334547,0.228,0.09326431117608285,0.0888381635122969,0.08946312556949153,0.31409235002987307,-0.14521672314912737,0.4139999999999999,-0.2570455425981712,-0.25000209499286163,-0.25167127409137385,-0.0013924854580600165,-0.4889190511158374,0.048,-0.014599694232999255,-0.006591682052304676,-0.0121116426456469,0.23963945881029164,-0.3073094110342703,0.962,-0.16378123142208836,-0.158172711240052,-0.1622081485218823,-0.029981372697067164,-0.30783330052901126,0.024,-0.05591722601300626,-0.06099835243733354,-0.06063338030674391,0.2675311261977335,-0.38558762762143317,0.694,-0.1078640054090821,-0.09815487610891566,-0.10157476821513842,0.21295360599961213,-0.42058468101318447,0.52,0.8509090909090908,KTCas12a
Keap1_Safe_Trp53,Keap1,Trp53,-0.1491815371890891,-0.1538891718546062,-0.15009650587623544,0.10613409149742711,-0.3844758141334547,0.228,0.21372413288620049,0.19821000506328007,0.2098866834574598,0.4780082930832158,-0.020251775010092524,0.08000000000000007,0.1721763317492502,0.1795781273649219,0.17164831495874308,0.4364791286669918,-0.1291767028044074,0.246,0.5350820018245398,0.5366179381229189,0.5316315042924384,0.7935377520192671,0.2265579850722517,0.0,0.3859004646354507,0.3818541300583704,0.3815349984162029,0.5368207347469834,0.22410580532512814,0.0,0.06454259569711138,0.05167363572576406,0.059790177581224416,0.466296340087889,-0.28979362213541005,0.8140000000000001,0.3213578689383393,0.33782194239678787,0.3217448208349785,0.6945115713379441,-0.12811042909294348,0.1180000000000001,0.536,KTCas12a
Keap1_Safe_Tsc2,Keap1,Tsc2,-0.1491815371890891,-0.1538891718546062,-0.15009650587623544,0.10613409149742711,-0.3844758141334547,0.228,0.6547368562680672,0.6589732056945357,0.6596198753988829,0.9233493421864847,0.41644536901167817,0.0,-0.2550621560783674,-0.2587268374699795,-0.25245537532756557,0.09026480124760726,-0.562512344459821,0.142,0.5488562373787889,0.5588968819325306,0.5572610059475528,0.848793513739205,0.25018501518684344,0.0,0.3996747001896998,0.39957923597872697,0.4071645000713173,0.6667741083783228,0.1827299792085144,0.0,0.5055553190789781,0.5090074203951717,0.5095233695226474,0.9018289651952918,0.14762847784177252,0.008000000000000007,-0.1058806188892783,-0.11018983974261001,-0.10235886945133015,0.2909827316115917,-0.49077989050492055,0.62,0.9388799999999999,KTCas12a
Lkb1_Mga_Safe,Lkb1,Mga,0.8157065489465125,0.8088310749952892,0.8104855561965698,1.0932592417750058,0.5295875038165894,0.0,0.31354295527767895,0.30472484148747275,0.3111355341480473,0.5417054174156853,0.10647204152987541,0.0040000000000000036,0.8011521074732504,0.7895720524870549,0.785127957120226,1.1157191505087554,0.4174626901274348,0.0,0.2989885138044168,0.28652739506842995,0.28577793507170357,0.6475831452041088,-0.08414187081698953,0.1359999999999999,1.1146950627509293,1.1020621464968987,1.0962634912682734,1.366620465661419,0.8158944572447037,0.0,1.1292495042241915,1.1262229139198736,1.121621090344617,1.483627526941655,0.7680455250967995,0.0,-0.014554441473262125,-0.01665472220319153,-0.02535759907634374,0.4254650242729258,-0.486021617663686,0.932,0.9648,KTCas12a
Lkb1_Rb1_Safe,Lkb1,Rb1,0.8157065489465125,0.8088310749952892,0.8104855561965698,1.0932592417750058,0.5295875038165894,0.0,0.5008684683018451,0.4556530599288915,0.4748852570451421,0.9989266670328689,0.06804463428153033,0.018000000000000016,1.2628910613745599,1.2595857811141826,1.2631149765933756,1.8914141281880334,0.6083836195747212,0.0,0.9480529807298925,0.922462692644578,0.9275146774419477,1.4221898401889437,0.4324535773815906,0.0,1.763759529676405,1.7227738560214543,1.7380002336385176,2.2475597522987623,1.287218648430118,0.0,1.3165750172483577,1.2737179091498527,1.285370813241712,1.8925012458645634,0.7133638863203596,0.0,0.44718451242804735,0.4527440993584707,0.45262942039680554,1.0970923598746334,-0.2492315544295811,0.19199999999999995,0.5939999999999999,KTCas12a
Lkb1_Rbm10_Safe,Lkb1,Rbm10,0.8157065489465125,0.8088310749952892,0.8104855561965698,1.0932592417750058,0.5295875038165894,0.0,0.26889425075962287,0.2691662648206865,0.26734365361504175,0.4733141319048472,0.051416641701984754,0.008000000000000007,0.8290393025630858,0.8159479550562119,0.8178588834355809,1.1243824826628044,0.49761884787479754,0.0,0.2822270043761961,0.27590506252173613,0.2747169808540527,0.5816625608319521,-0.07145578063406649,0.1100000000000001,1.0979335533227086,1.0851329217460766,1.0852025370506226,1.333071800943001,0.7909799037082879,0.0,1.0846007997061353,1.073162955098308,1.0778292098116118,1.4386247986111633,0.6899941464723364,0.0,0.013332753616573267,0.014696746237840896,0.007373327239010955,0.3769471373821591,-0.3817788310688513,0.938,0.9648,KTCas12a
Lkb1_Safe_Tet2,Lkb1,Tet2,0.8157065489465125,0.8088310749952892,0.8104855561965698,1.0932592417750058,0.5295875038165894,0.0,0.09326431117608285,0.0888381635122969,0.08946312556949153,0.31409235002987307,-0.14521672314912737,0.4139999999999999,0.7935201388130608,0.7849514092399804,0.7815430906530249,1.0879050532648455,0.4454749672255544,0.0,0.07107790104263112,0.06301284336758772,0.06052066002594653,0.41208751328885285,-0.31012423385726157,0.718,0.8867844499891436,0.8716625460923695,0.8710062162225164,1.1668516094957648,0.5631374871764998,0.0,0.9089708601225953,0.8971094629294072,0.8999486817660615,1.2838190725245313,0.5304990186567607,0.0,-0.022186410133451684,-0.020927570700223053,-0.028942465543544994,0.3563739386385942,-0.4543773077722541,0.906,0.9648,KTCas12a
Lkb1_Safe_Trp53,Lkb1,Trp53,0.8157065489465125,0.8088310749952892,0.8104855561965698,1.0932592417750058,0.5295875038165894,0.0,0.21372413288620049,0.19821000506328007,0.2098866834574598,0.4780082930832158,-0.020251775010092524,0.08000000000000007,1.2227387669155485,1.2144369886604598,1.2140236976565926,1.5903616091795605,0.8622515076486991,0.0,0.6207563508552365,0.6098417052721653,0.6134248249174826,1.0269155915498371,0.2124869090949549,0.0040000000000000036,1.436462899801749,1.4201989905570804,1.4239103811140523,1.8149078076199172,1.06317391351425,0.0,1.029430681832713,1.0064225674298268,1.0203722396540298,1.4409581550371147,0.6153435458547467,0.0,0.407032217969036,0.4090071328791623,0.4035381414600227,0.8176110624406593,-0.00840129692043281,0.052000000000000046,0.536,KTCas12a
Lkb1_Safe_Tsc2,Lkb1,Tsc2,0.8157065489465125,0.8088310749952892,0.8104855561965698,1.0932592417750058,0.5295875038165894,0.0,0.6547368562680672,0.6589732056945357,0.6596198753988829,0.9233493421864847,0.41644536901167817,0.0,0.6954834952326804,0.6879796340007287,0.6954584725551588,1.1070816482192907,0.3219276870089212,0.0,0.5345138025542351,0.5300862260704644,0.5445927917574719,1.0164577354824176,0.14839631444192225,0.0040000000000000036,1.3502203515007476,1.342666955036123,1.3550783479540418,1.7165034770374201,1.022132417431497,0.0,1.4704434052145796,1.4720771956235401,1.4701054315954527,1.875679188041751,1.0776073957721255,0.0,-0.12022305371383202,-0.13405931302383411,-0.11502708364141098,0.38416336831642284,-0.5887006439676259,0.646,0.9388799999999999,KTCas12a
Mga_Rb1_Safe,Mga,Rb1,0.31354295527767895,0.30472484148747275,0.3111355341480473,0.5417054174156853,0.10647204152987541,0.0040000000000000036,0.5008684683018451,0.4556530599288915,0.4748852570451421,0.9989266670328689,0.06804463428153033,0.018000000000000016,0.6451171017236969,0.6668202058812068,0.6627361036395928,1.0343303780172064,0.2647189605683411,0.0,0.832442614747863,0.8281145565139817,0.8264858265366876,1.2842621483828671,0.37825255369972427,0.0020000000000000018,1.145985570025542,1.131467602182581,1.1376213606847347,1.5769742916542402,0.7188636926174027,0.0,0.814411423579524,0.769566535230652,0.7860207911931893,1.3749654329467025,0.2799439148251072,0.0,0.3315741464460179,0.3678645206634206,0.3516005694915454,0.7659681750421681,-0.10246287860215718,0.1299999999999999,0.536,KTCas12a
Mga_Rbm10_Safe,Mga,Rbm10,0.31354295527767895,0.30472484148747275,0.3111355341480473,0.5417054174156853,0.10647204152987541,0.0040000000000000036,0.26889425075962287,0.2691662648206865,0.26734365361504175,0.4733141319048472,0.051416641701984754,0.008000000000000007,0.09129323316919008,0.07942899091610453,0.08418704614470002,0.35725205811034627,-0.183792245612365,0.554,0.046644528651134,0.03754197552995778,0.04039516561169454,0.31728614183028225,-0.23247370403135312,0.748,0.36018748392881295,0.35268749688681805,0.3515306997597418,0.5726173292123585,0.1605014294744238,0.0,0.5824372060373018,0.5753176414671506,0.578479187763089,0.8891819585475218,0.2790576272924205,0.0,-0.2222497221084888,-0.23143145032457593,-0.22694848800334724,0.09961226689172512,-0.53624595141623,0.19,0.5939999999999999,KTCas12a
